"number","title","pageid","namespace","length","touched"
"1","Artificial_intelligence","1164","","231620","20180325041721"
"2","Association_for_Computing_Machinery","2928","","28997","20180316141227"
"3","Computational_linguistics","5561","","38820","20180325002820"
"4","Computer_program","5783","","28866","20180325084032"
"5","Computational_chemistry","6019","","36814","20180321212302"
"6","List_of_computer_scientists","6834","","39023","20180311005317"
"7","Church–Turing_thesis","6854","","52072","20180324152137"
"8","Computational_complexity_theory","7543","","46919","20180316141228"
"9","Geographic_information_system","12398","","77692","20180323163821"
"10","Integer_factorization","15491","","21146","20180228121636"
"11","John_von_Neumann_Theory_Prize","16461","","5458","20180319221803"
"12","Knowledge_Systems_Laboratory","17232","","1309","20180228121638"
"13","Nevanlinna_Prize","21459","","3758","20180314002805"
"14","Timeline_of_programming_languages","23696","","45448","20180322225315"
"15","RFPolicy","26369","","1448","20171216154131"
"16","Software_Engineering_Body_of_Knowledge","28878","","4567","20180312112254"
"17","Phonetic_algorithm","36712","","3856","20180228121714"
"18","Degree_of_isochronous_distortion","41009","","763","20171231132609"
"19","Identity_map_pattern","46955","","1228","20180217145344"
"20","John_Mathieson_(computer_scientist)","58072","","1267","20180228121750"
"21","Concatenation","64474","","7264","20180228121801"
"22","Shotgun_debugging","101415","","1972","20180321095838"
"23","FOSSIL","142583","","3306","20180228122010"
"24","Computational_biology","149353","","25169","20180324061120"
"25","Guarded_suspension","164871","","3225","20180228122048"
"26","Outline_of_computer_science","169633","","10597","20180318092620"
"27","Computational_archaeology","171644","","16563","20180228122101"
"28","Computational_geometry","176927","","14036","20180316141256"
"29","Discrete_logarithm","181334","","13117","20180228122115"
"30","Ontology_Inference_Layer","183501","","1254","20180217145531"
"31","Compile_time","191766","","2176","20180320102754"
"32","String_literal","199706","","42371","20180228122139"
"33","Boolean","212335","","1218","20180228122155"
"34","Thomas_write_rule","217343","","2803","20180217145547"
"35","Negative_cache","234029","","2704","20180303234056"
"36","Loebner_Prize","238725","","20692","20180314002813"
"37","Durability_(database_systems)","245944","","1240","20180228122238"
"38","Computational_neuroscience","271430","","31195","20180322193359"
"39","Superior_(hierarchy)","307680","","1532","20180228122355"
"40","Pulse_computation","319106","","935","20180217145627"
"41","Epigrams_on_Programming","323141","","1220","20180217145628"
"42","Computer_scientist","328784","","5766","20180316141314"
"43","Industrial_data_processing","332341","","864","20180228122427"
"44","One-way_function","363890","","12805","20180315034852"
"45","Jump_threading","369445","","1004","20180321131551"
"46","Truncation_selection","371724","","2803","20180217145647"
"47","Bus_contention","376507","","3752","20180303234057"
"48","Re-order_buffer","390468","","1761","20180318082319"
"49","Real_computation","397247","","3802","20180217145656"
"50","Jürgen_Schmidhuber","405484","","6122","20180316182321"
"51","Polylogarithmic_function","445957","","1229","20180303234058"
"52","List_of_important_publications_in_computer_science","454351","","53953","20180321195919"
"53","Evolutionary_programming","460689","","2202","20180316141328"
"54","SSLIOP","470198","","562","20180123003910"
"55","Paradox_(theorem_prover)","491066","","473","20180228122732"
"56","Starvation_(computer_science)","501591","","4301","20180303134846"
"57","Tony_Kent_Strix_award","504195","","4293","20180217145741"
"58","Computational_semiotics","505237","","4824","20180213203100"
"59","3SUM","506330","","15463","20180324171400"
"60","Computational_number_theory","511466","","2252","20180217145744"
