"number","title","pageid","namespace","length","touched"
"1","Anthropology","569","","93194","20180323002925"
"2","Running_amok","3253","","14145","20180316141227"
"3","Continuity_(fiction)","5899","","15972","20180304175753"
"4","Cultural_movement","5903","","11103","20180317152451"
"5","Context-free_language","6867","","12752","20180228121619"
"6","Dialect","8128","","43133","20180320161908"
"7","Design","8560","","30589","20180322031045"
"8","Event","9451","","3254","20180314154242"
"9","Ethnocentrism","9827","","11503","20180317213822"
"10","Outline_of_education","9986","","17339","20180315014336"
"11","Formula_fiction","10600","","4073","20180321054855"
"12","Five_Pillars_of_Islam","11059","","18229","20180314133313"
"13","False_document","11429","","6542","20180316141229"
"14","Generation_X","11973","","72361","20180321202202"
"15","Human_rights","13831","","133443","20180321045459"
"16","Habeas_corpus","14091","","54184","20180325044824"
"17","History_of_science_and_technology","14285","","37132","20180228121633"
"18","Imprecise_language","15220","","1385","20180228121635"
"19","Infanticide","15474","","102637","20180316104041"
"20","Outline_of_literature","18345","","11951","20180318040320"
"21","Lost_Generation","18497","","13990","20180325001420"
"22","Bruces'_Philosophers_Song","19163","","5514","20180228121643"
"23","Meme","19312","","56986","20180318032624"
"24","Media_studies","19552","","30226","20180318145741"
"25","Mythology","19685","","53691","20180325002820"
"26","Natural_language","21173","","6184","20180302021317"
"27","Nation","21754","","25254","20180307184745"
"28","Proverb","23529","","119296","20180325120318"
"29","Five_Precepts","24780","","68199","20180318190328"
"30","Psychohistory","25102","","29858","20180303212226"
"31","Quadrivium","25234","","6411","20180228121652"
"32","Religion","25414","","126196","20180324232945"
"33","Stendhal_syndrome","27561","","5355","20180313174849"
"34","Series","28012","","1884","20180303235352"
"35","Siddur","28370","","45213","20180320174912"
"36","Trivium","30666","","6117","20180324231801"
"37","Suspension_of_disbelief","38243","","11332","20180318025249"
"38","Genre","44706","","26111","20180325041334"
"39","Sansei","46893","","27524","20180323002925"
"40","Baby_boomers","47127","","31583","20180319145929"
"41","Universal_jurisdiction","48640","","56456","20180318113845"
"42","Cultural_bias","49333","","2209","20180307030042"
"43","Intellectual_history","51319","","14222","20180228121739"
"44","Cultural_relativism","54943","","43670","20180313082204"
"45","Loanword","59787","","19399","20180316141239"
"46","MacGuffin","61082","","23169","20180320003038"
"47","Forgery","62312","","15239","20180321185942"
"48","New_World_Syndrome","64073","","4078","20180309121537"
"49","Lingua_franca","65373","","12379","20180320153123"
"50","List_of_narrative_techniques","65761","","33374","20180310174131"
"51","First-person_narrative","65974","","17322","20180324051918"
"52","Big_Dumb_Object","68868","","3904","20180319033144"
"53","Moral","70174","","4507","20180306014657"
"54","Surname","72243","","86682","20180323184043"
"55","Karōshi","72331","","33815","20180325002820"
"56","Character_(arts)","76749","","16311","20180316141242"
"57","Mormo","82836","","8602","20180314133318"
"58","Information_Age","84632","","26672","20180323203448"
"59","Liturgy","86364","","13181","20180323110149"
"60","Generation","94535","","48803","20180324014308"
"61","Perverse_incentive","97234","","12453","20180319221840"
"62","Stock_character","98352","","14324","20180317203912"
"63","Emo","100627","","104086","20180320021831"
"64","Cultural_resources_management","101140","","15643","20180314002808"
"65","World_Conference_against_Racism","101362","","10621","20180303192024"
"66","Dominator_culture","102062","","14446","20180228121902"
"67","Right_of_return","102191","","35533","20180318173322"
"68","Culture_hero","143364","","3259","20180315220854"
"69","Rent_party","143412","","3450","20180309132742"
"70","Right_of_self-defense","146342","","13430","20180323153708"
"71","Millennials","149183","","91936","20180321202202"
"72","Generation_gap","149224","","23581","20180314002809"
"73","G.I._Generation","154273","","23458","20180319145929"
"74","Beat_Generation","157208","","64347","20180323141757"
"75","Tutorial","160712","","6176","20180318143253"
"76","Second_language","162986","","22975","20180317102701"
"77","Culture_theory","165264","","4175","20180323063944"
"78","Cultural_behavior","165270","","6151","20180228122048"
"79","Empowerment","167703","","23104","20180325003911"
"80","Plot_device","171435","","10472","20180306174617"
"81","Metaphorical_language","175592","","3011","20180228122107"
"82","Transculturation","178693","","11210","20180304175753"
"83","Amikeca_Reto","181134","","1300","20180317075540"
"84","Cultural_subsidy","183728","","914","20180228122118"
"85","Vocabulary","191445","","26107","20180323044608"
"86","Anthropocentrism","191703","","22462","20180319114207"
"87","Catharsis","197055","","29521","20180321212305"
"88","Meme_pool","203808","","1464","20180228122145"
"89","Educational_entertainment","217777","","41063","20180305102822"
"90","Constitutional_convention_(political_custom)","219364","","32817","20180321174943"
"91","International_human_rights_law","219877","","30229","20180314002812"
"92","Moral_rights","220122","","25201","20180228122206"
"93","Eight_Immortals_of_Huainan","221155","","1212","20180319072248"
"94","Eight_Immortals_from_Sichuan","221158","","990","20180227173421"
"95","Eight_Immortals_of_the_Wine_Cup","221159","","1582","20180321212305"
"96","Language_code","221917","","6644","20180325082623"
"97","Spoken_language","226988","","4482","20180315140931"
"98","Retro_style","227098","","21887","20180317184053"
"99","Organizational_culture","228059","","90496","20180320102130"
"100","Orthorexia_nervosa","228214","","18876","20180313165119"
"101","Pseudophilosophy","229661","","16635","20180321203941"
"102","Seven_ages_of_man","232590","","85","20180303191553"
"103","Action_fiction","232680","","2172","20180301065939"
"104","Diffusion_(business)","242495","","5284","20180104034133"
"105","Power_structure","251368","","2237","20180228122246"
"106","Xungen_movement","253325","","734","20180314133322"
"107","Narrative","255991","","41159","20180319192138"
"108","Japanese_puzzle","271810","","463","20180228122307"
"109","Industrial_society","273856","","4842","20180316141307"
"110","Pro-ana","274608","","59303","20180303192057"
"111","Asylum_seeker","276005","","18556","20180312122620"
"112","Turkology","286347","","41608","20180318205604"
"113","Deweyism","286632","","8496","20180228122330"
"114","Metafiction","292910","","16309","20180316132755"
"115","Allusion","297267","","13655","20180315094327"
"116","Rite","297699","","6035","20180301160955"
"117","Happy_ending","301456","","9706","20180314023617"
"118","Stylistics","302445","","18630","20180228122350"
"119","Standard_language","305869","","47154","20180316141311"
"120","Mīmāṃsā","307372","","47039","20180316141311"
"121","Presumption_of_innocence","319616","","24449","20180318035743"
"122","Dwarf-tossing","323696","","8143","20180314002815"
"123","Cultural_ecology","323912","","22876","20180315161418"
"124","Right_to_privacy","324305","","25230","20180325002824"
"125","Mimesis","329625","","23799","20180321212305"
"126","Twelve_Traditions","331008","","13832","20180217145631"
"127","Devil's_Night","332861","","9657","20180325002824"
"128","Court_dress","337870","","54542","20180314002815"
"129","Artistic_license","340336","","6875","20180309214124"
"130","Ninety-Two_Resolutions","340370","","2980","20180228122438"
"131","Public_interest","340401","","6655","20180321212306"
"132","Third-person_omniscient_narrative","348511","","180","20180228122448"
"133","Koro_(medicine)","349555","","40176","20180312122635"
"134","Imagery","350381","","2064","20180228163223"
"135","Transparency_(behavior)","351227","","24366","20180323133632"
"136","Diegesis","351909","","19596","20180314133324"
"137","Discrimination_based_on_skin_color","354224","","82242","20180323184552"
"138","Administratium","355882","","2530","20180228122457"
"139","Soliloquy","372984","","3533","20180303234057"
"140","Language_of_mathematics","373299","","17105","20180303192113"
"141","Diversity_training","374004","","13191","20180303192113"
"142","Subplot","379153","","799","20180228122523"
"143","Matrilocal_residence","391097","","12129","20180319182026"
"144","Deathtrap_(plot_device)","401963","","15217","20180303120839"
"145","Secret_history","401969","","29630","20180228122547"
"146","Cultural_history","424789","","9630","20180321174943"
"147","Four_Rightly_Guided_Caliphs","437378","","80","20180302090943"
"148","Minority_group","437868","","24546","20180324214043"
"149","Wendigo","451642","","24411","20180324191442"
"150","Narrative_poetry","451981","","6450","20180321212307"
"151","Peripeteia","461415","","9802","20180314133328"
"152","Four_Treasures_of_the_Tuatha_Dé_Danann","469213","","6437","20180313151500"
"153","Anecdote","470031","","4137","20180316141329"
"154","Culture_industry","475460","","17724","20180314133328"
"155","False_protagonist","476499","","9914","20180228122716"
"156","Poetic_justice","484540","","7263","20180228122724"
"157","Kapu","488613","","6599","20180227173431"
"158","Area_studies","489094","","15108","20180318205313"
"159","Cultural_turn","492996","","8411","20180316141333"
"160","Colonial_mentality","496727","","43413","20180321120309"
"161","Symbols_of_death","498838","","6136","20180324032357"
"162","Hermit_kingdom","501118","","1989","20180310030428"
"163","Psychobiography","504008","","13361","20180228122747"
"164","Patronage","504974","","23482","20180316141334"
"165","Cultural_assimilation","505730","","11040","20180322163635"
"166","Story_arc","529844","","6924","20180228122821"
"167","Free_migration","532101","","28972","20180314002820"
"168","The_Thirty-Six_Dramatic_Situations","543095","","9666","20180319015555"
"169","Magical_Negro","545753","","17167","20180317203912"
"170","Eighth_Wonder_of_the_World","549109","","20901","20180314002820"
"171","Bundling_(tradition)","550777","","5776","20180225133317"
"172","Narrative_structure","553888","","8556","20180312211757"
"173","Post-materialism","554950","","12764","20180319085919"
"174","Ritualization","559305","","2334","20180228122851"
"175","Necronym","561580","","3561","20180324032357"
"176","Narration","565176","","34064","20180303192139"
"177","Fan_club","579134","","1816","20180228122910"
"178","Authorial_intent","588564","","11779","20180228122921"
"179","Classic","590768","","5095","20180228122923"
"180","Clinical_lycanthropy","596663","","13096","20180304222923"
"181","Ergative–absolutive_language","604771","","35060","20180311082147"
"182","Monoculturalism","618928","","5737","20180307160907"
"183","Blood_money_(restitution)","621628","","6748","20180320104657"
"184","Sublanguage","623398","","4057","20180228123001"
"185","Vietnam_Syndrome","629179","","8806","20180228123008"
"186","Hierarchy_of_precious_substances","635781","","3479","20180228123015"
"187","Institute_for_Dialectology,_Onomastics_and_Folklore_Research_in_Umeå","638740","","854","20180314133332"
"188","Silent_Generation","639900","","9024","20180319145929"
"189","Literary_language","646598","","26783","20180318084101"
"190","Pre-engagement_ring","648931","","1034","20171218231822"
"191","Aside","649720","","2748","20180228123028"
"192","Contrast_(literary)","659073","","1659","20180228123038"
"193","Frame_story","659824","","19968","20180317205750"
"194","Deathbed_conversion","665233","","18264","20180321221735"
"195","In_medias_res","674787","","9698","20180312220803"
"196","Evocation","696324","","11923","20180228123109"
"197","Latah","708503","","10263","20180316093310"
"198","Ptolemy_(name)","715596","","14088","20180314133333"
"199","Internal_passport","716105","","19153","20180319182106"
"200","Narratology","718763","","9298","20180318025323"
"201","Inclusio","722906","","8308","20180228123136"
"202","Dramatic_structure","766049","","13157","20180314183431"
"203","Nacirema","768700","","11895","20180228123221"
"204","Interculturalism","782895","","6786","20180228123232"
"205","Polyglotism","785639","","8650","20180303192154"
"206","Homo_sacer","794550","","5661","20180321144618"
"207","Useful_art","805897","","2902","20180228123246"
"208","Funerary_text","847681","","2649","20180226071225"
"209","Girl_power","853801","","16879","20180319182026"
"210","Intercultural_communication","861492","","28567","20180322182109"
"211","Encyclopaedia_Judaica","867520","","13071","20180316141405"
"212","Mutual_intelligibility","871470","","42485","20180314002826"
"213","Aristeia","881842","","2420","20180314133335"
"214","Plot_twist","885730","","20861","20180228123350"
"215","Narrativity","886895","","1490","20180228123350"
"216","Canadian_studies","895417","","1602","20180318205313"
"217","Early_adopter","900498","","3629","20180305082123"
"218","Archaeological_science","912551","","7188","20180316141409"
"219","Consistent_life_ethic","930376","","25947","20180303192200"
"220","Generation_Jones","954420","","16131","20180316160119"
"221","Cultural_analysis","958896","","3957","20170831225042"
"222","Social_effects_of_rock_music","959272","","19837","20180315125003"
"223","Liberty_Generation","967342","","817","20180114123349"
"224","Popular_culture_studies","976389","","27227","20180304175754"
"225","Nocebo","981225","","23963","20180308193621"
"226","Ghetonia","982297","","1283","20180316141414"
"227","Pitch_(filmmaking)","983079","","4561","20180303192203"
"228","Premise_(filmmaking)","983541","","641","20180228123536"
"229","Geographical_segregation","1009410","","8213","20180303192204"
"230","Vulgarity","1034781","","5457","20180317201018"
"231","Narrative_environment","1039975","","1487","20180228123635"
"232","Traveler's_diarrhea","1045467","","33801","20180314002829"
