"number","title","pageid","namespace","length","touched"
"1","Annales_school","1316","","35591","20180318145741"
"2","Astronomical_year_numbering","2551","","9256","20180316010442"
"3","List_of_centuries","5634","","802","20180223032540"
"4","Common_Era","6088","","55918","20180316143540"
"5","List_of_decades","8080","","8298","20180315185909"
"6","Event","9451","","3254","20180314154242"
"7","List_of_explorations","9502","","5752","20180325153530"
"8","Era","9758","","7885","20180320000321"
"9","Historiography","13276","","132551","20180322074717"
"10","Historical_revisionism","13293","","38325","20180317040121"
"11","List_of_historical_anniversaries","13316","","1593","20180324065509"
"12","Herstory","14015","","6436","20180319182026"
"13","Historicism","14329","","25386","20180316141229"
"14","Lists_of_battles","18693","","4898","20180325002820"
"15","Minute","19372","","4210","20180321090030"
"16","Paradigm_shift","25081","","25052","20180316141233"
"17","Psychohistory","25102","","29858","20180303212226"
"18","Historical_negationism","26092","","113923","20180325103839"
"19","Slave_narrative","26952","","36219","20180315174343"
"20","World_history","33692","","33626","20180314002805"
"21","Julian_day","38007","","33043","20180324145648"
"22","List_of_sports_history_organisations","40671","","1174","20180228121723"
"23","Epoch_(reference_date)","41113","","27367","20180309033133"
"24","Social_Darwinism","45541","","37742","20180316141236"
"25","Globalization","46313","","157716","20180324175424"
"26","Intellectual_history","51319","","14222","20180228121739"
"27","Ancient_history","51320","","155926","20180325001657"
"28","Counterfactual_history","72208","","13968","20180315152314"
"29","Information_Age","84632","","26672","20180323203448"
"30","List_of_time_periods","86760","","35110","20180322011318"
"31","Glottochronology","87030","","19921","20180309033133"
"32","Ka-Ata-Killa","90878","","632","20180217145408"
"33","Pariacaca_(god)","90884","","408","20180228121837"
"34","Vichama","90897","","761","20171216202658"
"35","List_of_historians","104202","","78703","20180311020843"
"36","List_of_historic_houses","142902","","3269","20180314002809"
"37","Historic_house","143068","","5711","20180312210246"
"38","Totalitarian_democracy","154902","","16668","20180311201059"
"39","Information_society","163901","","46739","20180316141252"
"40","Yuga","175075","","8416","20180323001804"
"41","Pseudohistory","175216","","41778","20180325030800"
"42","Ourang_Medan","177353","","11736","20180322035940"
"43","Philosophy_of_history","177438","","60537","20180323043824"
"44","Modernity","185130","","50177","20180322173308"
"45","Christian_Identity","190348","","47576","20180319000105"
"46","Postmodernity","196556","","35171","20180323152733"
"47","Millennium","204504","","17022","20180323225625"
"48","Political_history","221737","","16114","20180228122208"
"49","Social_history","222291","","45531","20180316141302"
"50","New_Chronology_(Rohl)","249686","","45837","20180325133100"
"51","Götaland_theory","251821","","7631","20180316141305"
"52","Succession_of_states","253129","","19672","20180314002813"
