"number","title","pageid","namespace","length","touched"
"1","Antisemitism","1078","","211152","20180324171338"
"2","Crony_capitalism","5249","","38003","20180305205053"
"3","Classical_liberalism","6677","","51315","20180321212302"
"4","Citizenship","6784","","57974","20180323010834"
"5","Corporatocracy","6997","","29355","20180311201059"
"6","Distributism","8805","","37649","20180320073704"
"7","Egalitarianism","10113","","26010","20180325002820"
"8","Fasces","11755","","26135","20180316141229"
"9","Government","12229","","38661","20180325040655"
"10","Hierarchical_organization","14031","","9566","20180228150746"
"11","Individualism","15181","","108740","20180325161358"
"12","Monarch","19012","","60051","20180321212302"
"13","Meritocracy","20971","","39766","20180314133314"
"14","Nationalism","21748","","111970","20180323111636"
"15","Oligarchy","22315","","17705","20180321212302"
"16","Politics","22986","","34618","20180322005841"
"17","Propaganda","23203","","49747","20180320195836"
"18","Political_party","23996","","44475","20180321212302"
"19","List_of_pacifist_organisations","24374","","1244","20171216154131"
"20","Political_science","24388","","28311","20180321212302"
"21","Outline_of_public_affairs","24493","","6923","20180224233942"
"22","Plutocracy","24561","","25166","20180322141618"
"23","Reich","25519","","24435","20180320145420"
"24","Real_Irish_Republican_Army","25731","","75712","20180314002805"
"25","Republicanism","25755","","55920","20180305145549"
"26","Rogue_state","26383","","14690","20180322001148"
"27","Secularism","27113","","36239","20180322165643"
"28","Self-determination","29269","","122107","20180323115445"
"29","Justification_for_the_state","30252","","10077","20180323214815"
"30","White_supremacy","33178","","38509","20180323214407"
"31","Theories_of_political_behavior","37123","","10064","20180228121716"
"32","Communitarianism","43375","","36976","20180323072728"
"33","Social_Darwinism","45541","","37742","20180316141236"
"34","Biosecurity_protocol","45607","","1840","20180228121731"
"35","Doomsday_Clock","47611","","32901","20180321045940"
"36","Neo-fascism","48755","","29913","20180325131740"
"37","Father_of_the_House","51254","","43710","20180324151438"
"38","Referendum","51582","","23178","20180324163404"
"39","Legislation","51913","","4178","20180316141237"
"40","Corporate_welfare","52221","","21467","20180325101433"
"41","Neo-Nazism","54361","","133006","20180325025249"
"42","Right-wing_politics","56522","","42970","20180317115005"
"43","List_of_kingdoms_and_royal_dynasties","58653","","15432","20180321213059"
