"number","title","pageid","namespace","length","touched"
"1","Fantasy_sport","10653","","53414","20180319030237"
"2","Sabermetrics","28692","","24476","20180314002805"
"3","Mercy_rule","28695","","17821","20180314002805"
"4","Boardsport","38983","","10958","20180323175539"
"5","Pigeon_sport","40616","","825","20180228121723"
"6","List_of_sports_history_organisations","40671","","1174","20180228121723"
"7","U.S._Open","82726","","2179","20180228121825"
"8","List_of_dancewear","153873","","868","20180217145514"
"9","1903_in_sports","171775","","14150","20180316231203"
"10","1980_in_sports","171777","","14132","20180316231141"
"11","1979_in_sports","171779","","13276","20180316231141"
"12","1978_in_sports","171780","","14283","20180316231141"
"13","1977_in_sports","171781","","11281","20180316231141"
"14","1976_in_sports","171783","","11506","20180316231141"
"15","1975_in_sports","171784","","13341","20180316231141"
"16","1974_in_sports","171795","","13047","20180318235309"
"17","1973_in_sports","171796","","11390","20180316231141"
"18","1972_in_sports","171798","","10624","20180316231141"
"19","1971_in_sports","171799","","12255","20180316231141"
"20","1970_in_sports","171803","","13375","20180316231141"
"21","1918_in_sports","186711","","7326","20180316231203"
"22","Volksmarching","189030","","4009","20180314133321"
"23","2004_in_sports","195345","","31029","20180319170227"
"24","1895_in_sports","196704","","14184","20180316231224"
"25","1896_in_sports","196710","","9358","20180316231224"
"26","1962_in_sports","197637","","11065","20180316231141"
"27","1938_in_sports","198141","","14153","20180316231203"
"28","1922_in_sports","205539","","11512","20180316231203"
"29","1930_in_sports","205824","","13978","20180319165736"
"30","1981_in_sports","208630","","13539","20180316231141"
"31","2001_in_sports","208632","","23735","20180316231116"
"32","2002_in_sports","218576","","22109","20180316231116"
"33","2000_in_sports","224719","","24129","20180316231141"
"34","1999_in_sports","224723","","25622","20180325161359"
"35","1998_in_sports","224724","","20044","20180316231141"
"36","1997_in_sports","224725","","21039","20180316231141"
"37","1996_in_sports","224726","","19563","20180316231141"
"38","1995_in_sports","224727","","19334","20180316231141"
"39","1994_in_sports","224728","","20322","20180318235902"
"40","1993_in_sports","224732","","18584","20180318235839"
"41","1992_in_sports","224733","","21111","20180316231141"
"42","1991_in_sports","224735","","17719","20180316231141"
"43","1990_in_sports","224736","","13205","20180319090513"
"44","1989_in_sports","224738","","13990","20180316231141"
"45","1988_in_sports","224739","","13506","20180316231141"
"46","1987_in_sports","224740","","13837","20180316231141"
"47","1986_in_sports","224741","","14460","20180316231141"
"48","1985_in_sports","224742","","13260","20180316231141"
"49","1984_in_sports","224743","","15763","20180316231141"
"50","1983_in_sports","224744","","15472","20180316231141"
"51","1982_in_sports","224746","","13258","20180316231141"
"52","1951_in_sports","224800","","11751","20180316231141"
"53","1969_in_sports","225337","","13667","20180316231141"
"54","1839_in_sports","225338","","3001","20180316231459"
"55","1968_in_sports","225339","","13260","20180316231141"
"56","1967_in_sports","225340","","12608","20180316231141"
"57","1840_in_sports","225341","","2033","20180316231459"
"58","1841_in_sports","225342","","2519","20180316231459"
"59","1966_in_sports","225343","","13242","20180316231141"
"60","1842_in_sports","225344","","1621","20180316231459"
"61","1845_in_sports","225345","","3118","20180316231459"
"62","1846_in_sports","225346","","1931","20180316231459"
"63","1849_in_sports","225348","","2425","20180316231459"
"64","1964_in_sports","225349","","13533","20180316231141"
"65","1852_in_sports","225350","","3289","20180316231224"
"66","1854_in_sports","225351","","3585","20180316231224"
"67","1856_in_sports","225352","","3368","20180316231224"
"68","1963_in_sports","225353","","10023","20180324165338"
"69","1857_in_sports","225354","","3232","20180316231224"
"70","1858_in_sports","225355","","2958","20180316231224"
"71","1961_in_sports","225357","","10660","20180316231141"
"72","1960_in_sports","225358","","11231","20180316231141"
"73","1959_in_sports","225359","","11046","20180325012541"
"74","1958_in_sports","225360","","12304","20180316231141"
"75","1957_in_sports","225364","","12442","20180316231141"
"76","1956_in_sports","225366","","14247","20180316231141"
"77","1860_in_sports","225368","","4402","20180316231224"
"78","1955_in_sports","225369","","12186","20180316231141"
"79","1861_in_sports","225370","","2893","20180316231224"
"80","1862_in_sports","225371","","4392","20180316231224"
"81","1863_in_sports","225373","","5259","20180316231224"
"82","1864_in_sports","225374","","3727","20180316231224"
"83","1865_in_sports","225375","","3493","20180316231224"
"84","1866_in_sports","225376","","3492","20180316231224"
"85","1954_in_sports","225377","","14673","20180316231141"
"86","1867_in_sports","225378","","5457","20180316231224"
"87","1868_in_sports","225379","","4447","20180316231224"
"88","1869_in_sports","225381","","5115","20180316231224"
"89","1870_in_sports","225382","","5550","20180316231224"
"90","1953_in_sports","225383","","12506","20180325012650"
"91","1871_in_sports","225384","","8105","20180316231224"
"92","1952_in_sports","225385","","14156","20180316231141"
"93","1872_in_sports","225386","","4766","20180316231224"
"94","1873_in_sports","225387","","5534","20180316231224"
"95","1874_in_sports","225388","","4145","20180316231224"
"96","1875_in_sports","225389","","4348","20180316231224"
"97","1876_in_sports","225390","","7041","20180316231224"
"98","1877_in_sports","225391","","6622","20180316231224"
"99","1878_in_sports","225394","","7496","20180316231224"
"100","1950_in_sports","225395","","9625","20180316231203"
"101","1879_in_sports","226215","","5148","20180316231224"
"102","1880_in_sports","226216","","6313","20180316231224"
"103","1882_in_sports","226218","","7099","20180316231224"
"104","1884_in_sports","226220","","8452","20180316231224"
"105","1885_in_sports","226221","","6457","20180316231224"
"106","1888_in_sports","226225","","9153","20180316231224"
"107","1889_in_sports","226226","","7836","20180316231224"
"108","1890_in_sports","226228","","9320","20180316231224"
"109","1891_in_sports","226229","","7907","20180316231224"
"110","1893_in_sports","226232","","10057","20180316231224"
"111","1894_in_sports","226233","","10058","20180316231224"
"112","1897_in_sports","226234","","9003","20180316231224"
"113","1898_in_sports","226235","","10373","20180316231224"
"114","1899_in_sports","226236","","11693","20180316231224"
"115","Panama_Lewis","242315","","7407","20180314002813"
